URL,Keyword,Keyword In H1,Keyword in URL
https://www.example.com/dragon-fruit-ideas,dragon fruit recipes,Fail,Fail
https://www.example.com/basket-weaving-underwater,underwater basket weaving,Fail,Fail
https://www.example.com/moon-gardening-tips,lunar landscaping,Fail,Fail
https://www.example.com/anti-gravity-yoga,zero gravity yoga,Fail,Fail
https://www.example.com/phantom-fanatics,phantom opera fan club,Fail,Fail
https://www.example.com/vr-holidays,virtual reality vacations,Fail,Fail
https://www.example.com/alien-planting,alien gardening secrets,Fail,Fail
https://www.example.com/mystical-trails,enchanted forest hikes,Fail,Fail
https://www.example.com/time-travel-gear,time travel gadgets,Fail,Fail
https://www.example.com/space-coffee,interstellar coffee beans,Fail,Fail
